iter	Logloss
0	0.6649184255
1	0.6438518233
2	0.6212986965
3	0.6012397844
4	0.5891717175
5	0.5798526018
6	0.5713063394
7	0.5625203443
8	0.5568792485
9	0.5514423033
10	0.5467441956
11	0.5402927918
12	0.5346954003
13	0.5301937339
14	0.5277098777
15	0.5248541716
16	0.5226157359
17	0.5182755147
18	0.5147073644
19	0.51320564
20	0.5119160168
21	0.5107597582
22	0.5094009484
23	0.5083658015
24	0.506674741
25	0.5058270046
26	0.50486361
27	0.5041048226
28	0.5032714897
29	0.5021128716
30	0.5006930688
31	0.5000434354
32	0.4993798034
33	0.4989184216
34	0.4981217825
35	0.4978287385
36	0.4973964641
37	0.4969949846
38	0.4967554824
39	0.4964530171
40	0.4961275952
41	0.4959591165
42	0.4957760249
43	0.4953627749
44	0.4951591538
45	0.4948966799
46	0.4947310754
47	0.4944910913
48	0.494376377
49	0.4938274601
50	0.4936800188
51	0.493568431
52	0.4933957272
53	0.4932332363
54	0.493138601
55	0.4930264479
56	0.4929130863
57	0.4928098126
58	0.4926968008
59	0.4926071003
60	0.4925357619
61	0.4924549516
62	0.4923210604
63	0.4922309078
64	0.4921539738
65	0.4920689572
66	0.4919629259
67	0.4918973774
68	0.4918015257
69	0.4917040416
70	0.4916243295
71	0.4915419006
72	0.4913414902
73	0.4911820732
74	0.4910820828
75	0.4909340052
76	0.4908640831
77	0.4908021204
78	0.4907558851
79	0.4907049183
80	0.490635186
81	0.4903941509
82	0.4903108821
83	0.4902724886
84	0.490210671
85	0.4900563351
86	0.489986504
87	0.489943659
88	0.4898812503
89	0.4897015921
90	0.4896738696
91	0.4896376739
92	0.4896000745
93	0.4895352455
94	0.4894818342
95	0.4894392982
96	0.4893567706
97	0.4892919331
98	0.4892617285
99	0.4892263167
100	0.489195005
101	0.4891706211
102	0.4891413468
103	0.4891025311
104	0.4889929914
105	0.4889573681
106	0.4889366575
107	0.4889165599
108	0.488890468
109	0.4888610425
110	0.4888433679
111	0.4888168196
112	0.488786747
113	0.4887444574
114	0.4886945729
115	0.4886197946
116	0.4885857883
117	0.4885614852
118	0.4885388607
119	0.4885199217
120	0.4884858678
121	0.488463366
122	0.4884383891
123	0.4884071542
124	0.4883543182
125	0.4883297505
126	0.4883132159
127	0.4882861348
128	0.4882634074
129	0.4882313223
130	0.4882193075
131	0.4882077988
132	0.4881855934
133	0.488166374
134	0.4881395921
135	0.4881129801
136	0.488085514
137	0.4880616901
138	0.4880366896
139	0.4880070168
140	0.4879666831
141	0.4879446502
142	0.4879122584
143	0.4878941234
144	0.4878733413
145	0.4878497632
146	0.4878219945
147	0.4877984715
148	0.4877722482
149	0.4877527481
150	0.4877312074
151	0.4877162426
152	0.4876989134
153	0.487682861
154	0.4876622671
155	0.4876426904
156	0.4876234758
157	0.4876078072
158	0.4875901303
159	0.4875647571
160	0.4875380429
161	0.4875218526
162	0.4875061192
163	0.4874885895
164	0.4874683213
165	0.4874505968
166	0.4874224561
167	0.4874014327
168	0.4873808256
169	0.4873580081
170	0.4873387066
171	0.4873213198
172	0.4873013761
173	0.4872794387
174	0.4872595607
175	0.4872139304
176	0.4872010677
177	0.4871814872
178	0.4871676774
179	0.4871527231
180	0.4871252657
181	0.4871186289
182	0.487079767
183	0.487072004
184	0.4870487807
185	0.4870380122
186	0.4870203244
187	0.4869997374
188	0.4869888283
189	0.4869479425
190	0.4869297706
191	0.4869079752
192	0.4868967196
193	0.4868827432
194	0.4868686128
195	0.4868493965
196	0.4868287403
197	0.4868115473
198	0.4868056555
199	0.4867774395
200	0.4867560757
201	0.4867395846
202	0.4867224149
203	0.4867068906
204	0.4866909666
205	0.4866810697
206	0.4866692338
207	0.4866509635
208	0.4866277837
209	0.4866067985
210	0.4865908884
211	0.4865688411
212	0.4865477559
213	0.4865231046
214	0.4865107752
215	0.4865003695
216	0.4864848828
217	0.4864363924
218	0.4864264791
219	0.4864183551
220	0.4863954407
221	0.4863724193
222	0.486356407
223	0.4863420266
224	0.4863259671
225	0.4863024343
226	0.4862737838
227	0.4862613757
228	0.4862500904
229	0.4862374798
230	0.4862156087
231	0.4862027843
232	0.4861917994
233	0.4861802973
234	0.4861645223
235	0.486148337
236	0.4861282581
237	0.4861075958
238	0.4860907472
239	0.486077433
240	0.4860606643
241	0.4860483094
242	0.4860243807
243	0.4860082126
244	0.4859982062
245	0.4859717303
246	0.4859591441
247	0.4859361179
248	0.4859166896
249	0.4859020039
250	0.4858842214
251	0.4858691879
252	0.4858475998
253	0.4858313338
254	0.485821744
255	0.4858001413
256	0.4857829645
257	0.4857637942
258	0.4857497741
259	0.4857320897
260	0.4857174415
261	0.4857003459
262	0.4856790822
263	0.485664879
264	0.4856536846
265	0.4856309875
266	0.4856047998
267	0.4855852782
268	0.485570495
269	0.4855600852
270	0.4855456972
271	0.4855282609
272	0.4855134616
273	0.485492543
274	0.4854750024
275	0.4854545265
276	0.4854391152
277	0.4854177028
278	0.4853948262
279	0.4853784141
280	0.4853561755
281	0.4853313175
282	0.4853183028
283	0.4852967871
284	0.4852779277
285	0.4852609598
286	0.4852437674
287	0.4852221648
288	0.4851995946
289	0.485187932
290	0.4851740741
291	0.4851671447
292	0.485149123
293	0.4851344272
294	0.4851240631
295	0.4851018482
296	0.4850795514
297	0.4850601978
298	0.4850475859
299	0.4850336609
300	0.4850171795
301	0.4849904345
302	0.4849645021
303	0.4849378766
304	0.4849252463
305	0.4849099618
306	0.4848929908
307	0.4848887842
308	0.4848736957
309	0.4848561757
310	0.4848496203
311	0.484833189
312	0.4848194955
313	0.4848025546
314	0.4847855337
315	0.4847710715
316	0.4847690602
317	0.4847505514
318	0.48473295
319	0.4847197863
320	0.4847048366
321	0.4847027313
322	0.484688184
323	0.4846727318
324	0.4846536332
325	0.4846330374
326	0.4846082755
327	0.4845878661
328	0.4845732477
329	0.4845597137
330	0.4845425886
331	0.4845214888
332	0.4845092601
333	0.4844930988
334	0.4844775641
335	0.4844593228
336	0.4844442875
337	0.4844284496
338	0.484414212
339	0.4844014841
340	0.4843882505
341	0.4843746983
342	0.4843646249
343	0.4843545912
344	0.4843325599
345	0.4843170735
346	0.4843054547
347	0.4842920577
348	0.4842729745
349	0.4842712553
350	0.4842590188
351	0.4842378713
352	0.4842222303
353	0.4842041552
354	0.4841845902
355	0.4841681686
356	0.4841545179
357	0.484145918
358	0.4841286585
359	0.4841136338
360	0.4840996919
361	0.4840875598
362	0.4840732599
363	0.4840625884
364	0.4840454121
365	0.484025055
366	0.484009744
367	0.4839927948
368	0.4839747019
369	0.4839525038
370	0.4839344677
371	0.4839218474
372	0.4839175716
373	0.4838955064
374	0.4838821863
375	0.4838816189
376	0.4838659706
377	0.483849688
378	0.4838485166
379	0.4838468724
380	0.483837242
381	0.4838152066
382	0.4837977745
383	0.4837837915
384	0.4837623138
385	0.4837467944
386	0.4837361228
387	0.4837188926
388	0.4837051258
389	0.4836919238
390	0.4836805518
391	0.4836675843
392	0.4836553193
393	0.4836429129
394	0.4836296938
395	0.4836100082
396	0.4835899779
397	0.4835847649
398	0.4835682184
399	0.4835537973
400	0.4835390519
401	0.4835260898
402	0.4835067615
403	0.483493768
404	0.4834755243
405	0.483463345
406	0.4834499182
407	0.483436017
408	0.4834170629
409	0.4834026939
410	0.4833886035
411	0.4833695741
412	0.4833553981
413	0.4833416351
414	0.4833296434
415	0.483313766
416	0.4833024845
417	0.4832898367
418	0.4832783832
419	0.4832609564
420	0.4832598856
421	0.4832494646
422	0.4832374864
423	0.4832267577
424	0.48321472
425	0.4831931491
426	0.4831811692
427	0.4831692731
428	0.4831554893
429	0.483145791
430	0.4831342022
431	0.4831197819
432	0.483107623
433	0.4830905486
434	0.4830753997
435	0.4830612804
436	0.4830434503
437	0.4830246437
438	0.483013872
439	0.4829940551
440	0.4829753415
441	0.4829549813
442	0.4829418593
443	0.4829285104
444	0.482911294
445	0.4829012377
446	0.4828866396
447	0.4828717437
448	0.4828627092
449	0.482845586
450	0.4828344265
451	0.4828245729
452	0.4828224177
453	0.4828062183
454	0.4827827184
455	0.4827706031
456	0.4827574492
457	0.4827478204
458	0.4827468352
459	0.4827373993
460	0.4827204313
461	0.4827052148
462	0.482692842
463	0.4826783192
464	0.4826774931
465	0.4826685405
466	0.482653026
467	0.4826409189
468	0.4826238248
469	0.4826150305
470	0.482599511
471	0.4825869692
472	0.482574448
473	0.482561885
474	0.4825527104
475	0.4825443145
476	0.4825317052
477	0.4825154573
478	0.4825041423
479	0.4824865703
480	0.4824750461
481	0.4824610106
482	0.4824463588
483	0.4824332693
484	0.4824279311
485	0.482423339
486	0.4824108694
487	0.4823929311
488	0.4823794776
489	0.4823649472
490	0.4823520526
491	0.4823418853
492	0.4823371284
493	0.4823188224
494	0.482300498
495	0.4822893761
496	0.4822798528
497	0.482264255
498	0.4822509647
499	0.4822391954
