iter	Passed	Remaining
0	18	9402
1	35	8764
2	52	8750
3	70	8742
4	86	8536
5	103	8503
6	120	8489
7	138	8520
8	156	8538
9	171	8404
10	188	8383
11	207	8426
12	224	8418
13	240	8356
14	257	8323
15	276	8358
16	292	8314
17	309	8292
18	327	8291
19	345	8284
20	360	8219
21	377	8199
22	395	8211
23	415	8235
24	431	8196
25	447	8163
26	465	8151
27	481	8112
28	498	8090
29	515	8068
30	531	8048
31	549	8037
32	565	8004
33	583	7990
34	600	7973
35	616	7950
36	633	7931
37	650	7906
38	668	7900
39	684	7870
40	700	7843
41	721	7865
42	741	7879
43	761	7892
44	779	7886
45	796	7859
46	813	7841
47	831	7829
48	848	7810
49	866	7797
50	883	7774
51	903	7785
52	919	7754
53	934	7718
54	955	7733
55	971	7703
56	991	7708
57	1009	7690
58	1025	7662
59	1043	7652
60	1060	7629
61	1076	7601
62	1092	7576
63	1114	7594
64	1132	7579
65	1147	7543
66	1163	7517
67	1179	7490
68	1193	7457
69	1210	7433
70	1227	7414
71	1244	7400
72	1260	7375
73	1280	7369
74	1298	7358
75	1319	7363
76	1339	7361
77	1357	7344
78	1374	7324
79	1391	7304
80	1409	7293
81	1427	7277
82	1443	7252
83	1458	7222
84	1477	7212
85	1494	7194
86	1512	7178
87	1528	7157
88	1543	7128
89	1558	7101
90	1575	7082
91	1593	7067
92	1610	7049
93	1627	7030
94	1646	7021
95	1664	7003
96	1681	6987
97	1699	6970
98	1715	6948
99	1733	6935
100	1749	6910
101	1766	6893
102	1783	6874
103	1799	6852
104	1816	6832
105	1832	6812
106	1848	6787
107	1866	6775
108	1882	6753
109	1899	6733
110	1915	6714
111	1933	6696
112	1949	6675
113	1967	6660
114	1984	6644
115	2001	6626
116	2017	6605
117	2035	6588
118	2051	6569
119	2067	6546
120	2082	6523
121	2096	6496
122	2113	6476
123	2128	6453
124	2142	6427
125	2157	6404
126	2172	6381
127	2188	6361
128	2202	6333
129	2217	6310
130	2231	6284
131	2244	6258
132	2259	6234
133	2275	6214
134	2289	6189
135	2305	6169
136	2322	6152
137	2339	6135
138	2355	6116
139	2370	6095
140	2385	6074
141	2401	6055
142	2417	6036
143	2435	6021
144	2453	6006
145	2469	5987
146	2485	5968
147	2502	5950
148	2519	5936
149	2539	5926
150	2556	5909
151	2572	5889
152	2586	5865
153	2599	5841
154	2616	5823
155	2633	5807
156	2648	5786
157	2665	5769
158	2680	5749
159	2695	5727
160	2710	5706
161	2725	5685
162	2741	5667
163	2757	5650
164	2774	5632
165	2790	5614
166	2804	5592
167	2819	5571
168	2833	5549
169	2849	5531
170	2864	5511
171	2881	5494
172	2897	5476
173	2912	5456
174	2925	5433
175	2940	5412
176	2953	5390
177	2967	5367
178	2983	5349
179	2997	5328
180	3012	5308
181	3027	5289
182	3040	5267
183	3055	5247
184	3069	5227
185	3085	5208
186	3099	5188
187	3115	5170
188	3130	5150
189	3146	5134
190	3161	5115
191	3174	5092
192	3188	5072
193	3202	5051
194	3217	5032
195	3234	5016
196	3249	4997
197	3264	4979
198	3278	4959
199	3293	4940
200	3308	4921
201	3325	4905
202	3339	4885
203	3356	4869
204	3371	4852
205	3386	4833
206	3400	4813
207	3414	4793
208	3428	4773
209	3444	4756
210	3459	4738
211	3473	4719
212	3490	4702
213	3505	4685
214	3523	4670
215	3538	4652
216	3555	4637
217	3571	4619
218	3586	4601
219	3601	4583
220	3617	4567
221	3634	4551
222	3651	4535
223	3666	4517
224	3683	4502
225	3699	4485
226	3716	4469
227	3731	4451
228	3747	4434
229	3764	4419
230	3781	4403
231	3797	4386
232	3813	4370
233	3830	4354
234	3849	4340
235	3875	4334
236	3893	4320
237	3914	4308
238	3930	4292
239	3949	4278
240	3968	4265
241	3985	4249
242	4000	4230
243	4015	4213
244	4035	4200
245	4056	4188
246	4081	4180
247	4097	4163
248	4114	4147
249	4133	4133
250	4153	4120
251	4169	4103
252	4184	4085
253	4202	4069
254	4218	4053
255	4235	4036
256	4251	4020
257	4268	4003
258	4285	3987
259	4301	3971
260	4316	3952
261	4333	3936
262	4350	3920
263	4366	3903
264	4380	3884
265	4396	3867
266	4413	3851
267	4435	3839
268	4452	3823
269	4468	3806
270	4486	3791
271	4501	3773
272	4517	3756
273	4532	3738
274	4547	3720
275	4564	3704
276	4578	3686
277	4594	3669
278	4610	3652
279	4627	3636
280	4642	3617
281	4655	3599
282	4672	3582
283	4688	3566
284	4703	3548
285	4720	3532
286	4736	3515
287	4751	3497
288	4767	3480
289	4781	3462
290	4795	3444
291	4810	3426
292	4826	3410
293	4844	3394
294	4859	3376
295	4875	3359
296	4888	3341
297	4906	3325
298	4922	3309
299	4937	3291
300	4953	3275
301	4967	3256
302	4982	3239
303	4998	3222
304	5014	3206
305	5031	3189
306	5048	3173
307	5065	3157
308	5080	3140
309	5095	3123
310	5112	3106
311	5129	3090
312	5144	3073
313	5159	3055
314	5173	3038
315	5188	3021
316	5203	3003
317	5218	2986
318	5234	2970
319	5252	2954
320	5267	2937
321	5283	2920
322	5299	2904
323	5314	2886
324	5329	2869
